,Network,User,Date,Text,Positive,Neutral,Negative,Compound
0,@CNN,Laurent,Thu Nov 02 00:06:03 +0000 2017,@CNN @CNNOpinion He’ll fail. Miserably.,0.0,0.312,0.688,-0.765
1,@CNN,Hear This,Thu Nov 02 00:06:01 +0000 2017,@CNN Because now the world sees us sending a traitor abroad.,0.0,1.0,0.0,0.0
2,@CNN,Larry Capilla,Thu Nov 02 00:06:00 +0000 2017,"@CNN @CNNOpinion He’s running out of chances, He gets worse daily..",0.129,0.647,0.223,-0.3182
3,@CNN,Bee Kay,Thu Nov 02 00:06:00 +0000 2017,@CNN @CNNOpinion WTH. It is so over this is just pulp crap please quit pulling this bs out every time he goes abroa… https://t.co/tzHQn4PjCo,0.077,0.699,0.224,-0.6633
4,@CNN,Desiree,Thu Nov 02 00:06:00 +0000 2017,RT @CNN: The Trump administration has sought cuts to domestic counter-terror programs https://t.co/vb2L3MHa6n https://t.co/xJ3oy2eBfI,0.0,0.855,0.145,-0.296
5,@CNN,Rob Jaimes,Thu Nov 02 00:05:59 +0000 2017,"@WrenchSpinRac @FoxNews @CNN ""Christian"", you call yourself. You're a bigot hiding behind a crucifix.",0.0,0.833,0.167,-0.296
6,@CNN,Shareese Oglesby,Thu Nov 02 00:05:59 +0000 2017,@FoxNews @CNN He’s ignorant and does not know much about Islam. Smh,0.0,0.694,0.306,-0.5267
7,@CNN,Snakes don't talk,Thu Nov 02 00:05:58 +0000 2017,@Dawn_Treloar @debrablueeyes @bisepost1 @FoxNews @CNN It is the same God,0.189,0.811,0.0,0.2732
8,@CNN,Agatha Kerry,Thu Nov 02 00:05:58 +0000 2017,"@CNN @CNNOpinion I think @POTUS acted like a leader #MiddleEast Should he ""be more flexible"" like Obama #UraniumONE… https://t.co/wHWkNrvT8G",0.339,0.661,0.0,0.7346
9,@CNN,Violette Montiel,Thu Nov 02 00:05:58 +0000 2017,RT @FoxNews: .@CNN 's Jake Tapper Says 'Allahu Akbar' Is 'Beautiful' Right After NYC Terror Attack https://t.co/SQ2DWKAUpr,0.0,0.698,0.302,-0.7579
10,@CNN,Ayngel Boshemia,Thu Nov 02 00:05:58 +0000 2017,"@debrablueeyes @bisepost1 @FoxNews @CNN Whoever sacrifices to any god, except the Lord alone, shall be doomed. Exodus 22:19",0.09,0.644,0.266,-0.6249
11,@CNN,rabbithole,Thu Nov 02 00:05:57 +0000 2017,@CNN @CNNOpinion Why? Because he doesn't speak your language of globalism?  Your attack on #trump did not work duri… https://t.co/bMij544Lij,0.0,0.846,0.154,-0.5362
12,@CNN,professor woland,Thu Nov 02 00:05:55 +0000 2017,"@CNN But wait, I thought the Russians gave the election to Trump? Keeping these lies straight is so difficult.",0.084,0.667,0.249,-0.5709
13,@CNN,Jack Cohen,Thu Nov 02 00:05:55 +0000 2017,RT @jacoh55: @CNN @CNNOpinion Dream on.,0.286,0.714,0.0,0.25
14,@CNN,Geoff,Thu Nov 02 00:05:55 +0000 2017,@FoxNews @CNN Wow. Fox is simply moronic,0.304,0.4,0.296,0.0258
15,@CNN,rachel kelly,Thu Nov 02 00:05:54 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/…",0.0,0.866,0.134,-0.4767
16,@CNN,mike roberts,Thu Nov 02 00:05:54 +0000 2017,"@CNN @realDonaldTrump 
The Russian Troll Farms slithering through social media, before, during and after the electi… https://t.co/TqmmL3dU22",0.0,1.0,0.0,0.0
17,@CNN,Evokin,Thu Nov 02 00:05:53 +0000 2017,@AzzarNTmurt @WeHoGuy1985 @CNN https://t.co/kWDHZb0uZv,0.0,1.0,0.0,0.0
18,@CNN,Mike L.,Thu Nov 02 00:05:53 +0000 2017,@CNN @CNNOpinion What the hell does the COCKROACH NETWORK KNOW ABOUT LEADERSHIP???,0.0,0.682,0.318,-0.7303
19,@CNN,Darvans,Thu Nov 02 00:05:53 +0000 2017,@gsportsjunkie @debrablueeyes @bisepost1 @FoxNews @CNN Explain to us how they are NOT the same god.  Your explanati… https://t.co/NisJq4lRLQ,0.11,0.89,0.0,0.2732
20,@CNN,Greg Haldane,Thu Nov 02 00:05:52 +0000 2017,"@CNN Says the man who degraded women, degraded military vets, degraded minority’s.... hmmmm. President agent orange is on a roll",0.0,0.656,0.344,-0.8126
21,@CNN,ericrunner,Thu Nov 02 00:05:51 +0000 2017,@FoxNews @CNN Talk about cherry picking and spinning a comment/taking it out of context—-you all win the prize for… https://t.co/iawht6Hy6h,0.295,0.705,0.0,0.7964
22,@CNN,Mike,Thu Nov 02 00:05:51 +0000 2017,"RT @WeSupport45: WOW! @AprilDRyan needs to be Fired for idiocy @CNN!
#RETWEET
Visit https://t.co/ZGQ9iC3Voc https://t.co/uNxuUrBRhP",0.236,0.599,0.166,0.3647
23,@CNN,MaryAnn Schorfhaar,Thu Nov 02 00:05:51 +0000 2017,"@Wm_Gattis @THeinrich22 @JosephOmoOsagi1 @FoxNews @CNN Muhammad's history is clear. He was a thief, murderer, sexua… https://t.co/GVQ8Pv5gEN",0.115,0.531,0.354,-0.7506
24,@CNN,Linfong Lee,Thu Nov 02 00:05:51 +0000 2017,"@CNN @CNNOpinion Just like,he never ever be!",0.0,1.0,0.0,0.0
25,@CNN,Don Hicks,Thu Nov 02 00:05:51 +0000 2017,"RT @LauraLoomer: .@andersoncooper GRILLED BY @LauraLoomer live on air. ""Let's talk about how @CNN likes to sponsor #ISIS photo shoots. You…",0.123,0.877,0.0,0.4215
26,@CNN,Richard Steele,Thu Nov 02 00:05:50 +0000 2017,@CNN He's already been charged. What do you want?,0.129,0.693,0.178,-0.128
27,@CNN,A.C. Spollen,Thu Nov 02 00:05:50 +0000 2017,"RT @CNN: Former first lady Laura Bush on the current first family and Trump administration: ""I wish them the very best."" https://t.co/fbiAL…",0.114,0.886,0.0,0.4019
28,@CNN,Joanne Ashton,Thu Nov 02 00:05:49 +0000 2017,"RT @atorres_ryder: @CNN @SHSanders45 I feel bad for the guy that needs to ""service"" her while looking into that face, and those soulless ey…",0.0,0.863,0.137,-0.5423
29,@CNN,Donna,Thu Nov 02 00:05:48 +0000 2017,@FoxNews @CNN Boycott @FoxNews  this is false and didn’t include the entire sentence.,0.089,0.753,0.158,-0.25
30,@CNN,edith crump,Thu Nov 02 00:05:47 +0000 2017,"@CNN @CNNOpinion Meaning.... same as he has thus far.
#MAGA. BEST PRESIDENT EVER!",0.303,0.697,0.0,0.7371
31,@CNN,Kristine Shakhazizia,Thu Nov 02 00:05:46 +0000 2017,@FoxNews @CNN This is awful- faux news APOLOGIZE,0.192,0.539,0.269,-0.2185
32,@CNN,Verse-Atile,Thu Nov 02 00:05:46 +0000 2017,@CNN #spellcheck ? https://t.co/MlLVrJ4SYO,0.0,1.0,0.0,0.0
